sample_id,scenario_id,core_start_time,core_end_time,window_start_time,window_end_time,original_start_time,original_end_time,core_start_offset,core_end_offset
S0001,,2019-02-14 23:00:00,2019-02-15 06:00:00,2019-02-14 08:00:00,2019-02-15 19:00:00,2019-02-14 21:00:00,2019-02-15 08:00:00,15,22
S0004,,2021-12-14 22:00:00,2021-12-15 05:00:00,2021-12-14 08:00:00,2021-12-15 19:00:00,2021-12-14 20:00:00,2021-12-15 07:00:00,14,21
S0005,,2019-06-11 09:00:00,2019-06-11 15:00:00,2019-06-10 18:00:00,2019-06-12 05:00:00,2019-06-11 07:00:00,2019-06-11 17:00:00,15,21
S0006,,2019-07-11 11:00:00,2019-07-11 15:00:00,2019-07-10 19:00:00,2019-07-12 06:00:00,2019-07-11 09:00:00,2019-07-11 17:00:00,16,20
S0007,,2019-07-12 11:00:00,2019-07-12 15:00:00,2019-07-11 19:00:00,2019-07-13 06:00:00,2019-07-12 09:00:00,2019-07-12 17:00:00,16,20
S0010,,2019-07-15 11:00:00,2019-07-15 15:00:00,2019-07-14 19:00:00,2019-07-16 06:00:00,2019-07-15 09:00:00,2019-07-15 17:00:00,16,20
S0012,,2019-07-22 11:00:00,2019-07-22 15:00:00,2019-07-21 19:00:00,2019-07-23 06:00:00,2019-07-22 09:00:00,2019-07-22 17:00:00,16,20
S0013,,2019-07-26 11:00:00,2019-07-26 15:00:00,2019-07-25 19:00:00,2019-07-27 06:00:00,2019-07-26 09:00:00,2019-07-26 17:00:00,16,20
S0014,,2019-07-27 10:00:00,2019-07-27 16:00:00,2019-07-26 19:00:00,2019-07-28 06:00:00,2019-07-27 08:00:00,2019-07-27 18:00:00,15,21
S0016,,2019-08-02 11:00:00,2019-08-02 15:00:00,2019-08-01 19:00:00,2019-08-03 06:00:00,2019-08-02 09:00:00,2019-08-02 17:00:00,16,20
S0017,,2019-08-03 10:00:00,2019-08-03 15:00:00,2019-08-02 18:00:00,2019-08-04 05:00:00,2019-08-03 08:00:00,2019-08-03 17:00:00,16,21
S0023,,2019-08-14 09:00:00,2019-08-14 16:00:00,2019-08-13 18:00:00,2019-08-15 05:00:00,2019-08-14 07:00:00,2019-08-14 18:00:00,15,22
S0025,,2019-08-16 09:00:00,2019-08-16 16:00:00,2019-08-15 18:00:00,2019-08-17 05:00:00,2019-08-16 07:00:00,2019-08-16 18:00:00,15,22
S0027,,2019-08-21 10:00:00,2019-08-21 15:00:00,2019-08-20 18:00:00,2019-08-22 05:00:00,2019-08-21 08:00:00,2019-08-21 17:00:00,16,21
S0030,,2019-08-24 10:00:00,2019-08-24 15:00:00,2019-08-23 18:00:00,2019-08-25 05:00:00,2019-08-24 08:00:00,2019-08-24 17:00:00,16,21
S0031,,2019-08-25 09:00:00,2019-08-25 16:00:00,2019-08-24 18:00:00,2019-08-26 05:00:00,2019-08-25 07:00:00,2019-08-25 18:00:00,15,22
S0032,,2019-08-26 09:00:00,2019-08-26 16:00:00,2019-08-25 18:00:00,2019-08-27 05:00:00,2019-08-26 07:00:00,2019-08-26 18:00:00,15,22
S0033,,2019-08-27 09:00:00,2019-08-27 16:00:00,2019-08-26 18:00:00,2019-08-28 05:00:00,2019-08-27 07:00:00,2019-08-27 18:00:00,15,22
S0034,,2019-08-28 10:00:00,2019-08-28 15:00:00,2019-08-27 18:00:00,2019-08-29 05:00:00,2019-08-28 08:00:00,2019-08-28 17:00:00,16,21
S0035,,2019-08-29 11:00:00,2019-08-29 15:00:00,2019-08-28 19:00:00,2019-08-30 06:00:00,2019-08-29 09:00:00,2019-08-29 17:00:00,16,20
S0038,,2019-09-01 10:00:00,2019-09-01 16:00:00,2019-08-31 19:00:00,2019-09-02 06:00:00,2019-09-01 08:00:00,2019-09-01 18:00:00,15,21
S0039,,2019-09-03 11:00:00,2019-09-03 15:00:00,2019-09-02 19:00:00,2019-09-04 06:00:00,2019-09-03 09:00:00,2019-09-03 17:00:00,16,20
S0043,,2020-05-27 11:00:00,2020-05-27 15:00:00,2020-05-26 19:00:00,2020-05-28 06:00:00,2020-05-27 09:00:00,2020-05-27 17:00:00,16,20
S0044,,2020-05-28 11:00:00,2020-05-28 15:00:00,2020-05-27 19:00:00,2020-05-29 06:00:00,2020-05-28 09:00:00,2020-05-28 17:00:00,16,20
S0045,,2020-06-22 11:00:00,2020-06-22 16:00:00,2020-06-21 20:00:00,2020-06-23 07:00:00,2020-06-22 09:00:00,2020-06-22 18:00:00,15,20
S0053,,2020-07-12 09:00:00,2020-07-12 16:00:00,2020-07-11 18:00:00,2020-07-13 05:00:00,2020-07-12 07:00:00,2020-07-12 18:00:00,15,22
S0054,,2020-07-13 10:00:00,2020-07-13 15:00:00,2020-07-12 18:00:00,2020-07-14 05:00:00,2020-07-13 08:00:00,2020-07-13 17:00:00,16,21
S0067,,2020-07-30 10:00:00,2020-07-30 16:00:00,2020-07-29 19:00:00,2020-07-31 06:00:00,2020-07-30 08:00:00,2020-07-30 18:00:00,15,21
S0069,,2020-08-01 10:00:00,2020-08-01 16:00:00,2020-07-31 19:00:00,2020-08-02 06:00:00,2020-08-01 08:00:00,2020-08-01 18:00:00,15,21
S0074,,2020-08-09 10:00:00,2020-08-09 16:00:00,2020-08-08 19:00:00,2020-08-10 06:00:00,2020-08-09 08:00:00,2020-08-09 18:00:00,15,21
S0076,,2020-08-12 11:00:00,2020-08-12 15:00:00,2020-08-11 19:00:00,2020-08-13 06:00:00,2020-08-12 09:00:00,2020-08-12 17:00:00,16,20
S0078,,2020-08-14 08:00:00,2020-08-14 17:00:00,2020-08-13 18:00:00,2020-08-15 05:00:00,2020-08-14 06:00:00,2020-08-14 19:00:00,14,23
S0079,,2020-08-15 08:00:00,2020-08-15 17:00:00,2020-08-14 18:00:00,2020-08-16 05:00:00,2020-08-15 06:00:00,2020-08-15 19:00:00,14,23
S0080,,2020-08-16 08:00:00,2020-08-16 16:00:00,2020-08-15 18:00:00,2020-08-17 05:00:00,2020-08-16 06:00:00,2020-08-16 18:00:00,14,22
S0083,,2020-08-19 09:00:00,2020-08-19 15:00:00,2020-08-18 18:00:00,2020-08-20 05:00:00,2020-08-19 07:00:00,2020-08-19 17:00:00,15,21
S0086,,2020-08-22 10:00:00,2020-08-22 15:00:00,2020-08-21 18:00:00,2020-08-23 05:00:00,2020-08-22 08:00:00,2020-08-22 17:00:00,16,21
S0089,,2020-08-25 10:00:00,2020-08-25 15:00:00,2020-08-24 18:00:00,2020-08-26 05:00:00,2020-08-25 08:00:00,2020-08-25 17:00:00,16,21
S0090,,2020-08-26 11:00:00,2020-08-26 15:00:00,2020-08-25 19:00:00,2020-08-27 06:00:00,2020-08-26 09:00:00,2020-08-26 17:00:00,16,20
S0091,,2020-08-27 11:00:00,2020-08-27 15:00:00,2020-08-26 19:00:00,2020-08-28 06:00:00,2020-08-27 09:00:00,2020-08-27 17:00:00,16,20
S0092,,2020-08-28 11:00:00,2020-08-28 15:00:00,2020-08-27 19:00:00,2020-08-29 06:00:00,2020-08-28 09:00:00,2020-08-28 17:00:00,16,20
S0095,,2020-09-04 10:00:00,2020-09-04 16:00:00,2020-09-03 19:00:00,2020-09-05 06:00:00,2020-09-04 08:00:00,2020-09-04 18:00:00,15,21
S0096,,2020-09-05 09:00:00,2020-09-05 16:00:00,2020-09-04 18:00:00,2020-09-06 05:00:00,2020-09-05 07:00:00,2020-09-05 18:00:00,15,22
S0097,,2020-09-06 08:00:00,2020-09-06 17:00:00,2020-09-05 18:00:00,2020-09-07 05:00:00,2020-09-06 06:00:00,2020-09-06 19:00:00,14,23
