sample_id,event_type,core_start_time,core_end_time,start_time,end_time,core_n_steps,duration_hours,window_duration_hours,month,low_irradiance_flag,low_wind_flag,imbalance_tau,imbalance_tau_mode,delta_t_hours,cum_deficit,netload_ramp_max,imbalance_duration,netload_peak,netload_mean
S0001,寒潮,2019-02-14 23:00:00,2019-02-15 06:00:00,2019-02-14 21:00:00,2019-02-15 08:00:00,8,8,12,2,1,0,21859.458333333332,monthly_quantile,1.0,1809.5000000000036,2899.4166666666715,2.0,23481.25,19380.28472222222
S0002,寒潮,2020-02-02 17:00:00,2020-02-03 11:00:00,2020-02-02 15:00:00,2020-02-03 13:00:00,19,19,23,2,1,0,21859.458333333332,monthly_quantile,1.0,3134.458333333321,5413.916666666662,3.0,23435.58333333333,17675.45652173913
S0003,寒潮,2021-10-26 00:00:00,2021-10-26 04:00:00,2021-10-25 22:00:00,2021-10-26 06:00:00,5,5,9,10,0,0,22707.416666666664,monthly_quantile,1.0,0.0,2042.75,0.0,19836.166666666668,17688.51851851852
S0004,寒潮,2021-12-14 22:00:00,2021-12-15 05:00:00,2021-12-14 20:00:00,2021-12-15 07:00:00,8,8,12,12,0,0,23635.479166666664,monthly_quantile,1.0,6696.187500000011,2210.0833333333358,5.0,26662.833333333336,22613.61111111111
S0005,高温,2019-06-11 09:00:00,2019-06-11 15:00:00,2019-06-11 07:00:00,2019-06-11 17:00:00,7,7,11,6,0,1,22475.541666666668,monthly_quantile,1.0,52781.79166666664,2476.3333333333285,7.0,36271.66666666666,26729.371212121205
S0006,高温,2019-07-11 11:00:00,2019-07-11 15:00:00,2019-07-11 09:00:00,2019-07-11 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,236.18749999999272,1901.7500000000073,1.0,26253.49999999999,20894.7962962963
S0007,高温,2019-07-12 11:00:00,2019-07-12 15:00:00,2019-07-12 09:00:00,2019-07-12 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,1477.270833333343,2359.6666666666642,1.0,27494.58333333334,22243.824074074077
S0008,高温,2019-07-13 11:00:00,2019-07-13 15:00:00,2019-07-13 09:00:00,2019-07-13 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,1180.6875000000036,2868.1666666666642,1.0,27198.0,19833.583333333332
S0009,高温,2019-07-14 11:00:00,2019-07-14 15:00:00,2019-07-14 09:00:00,2019-07-14 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,0.0,2577.9166666666642,0.0,23626.083333333336,17121.166666666668
S0010,高温,2019-07-15 11:00:00,2019-07-15 15:00:00,2019-07-15 09:00:00,2019-07-15 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,80.35416666667516,1788.1666666666642,1.0,26097.66666666667,20112.194444444445
S0011,高温,2019-07-21 11:00:00,2019-07-21 15:00:00,2019-07-21 09:00:00,2019-07-21 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,0.0,3021.8333333333285,0.0,25550.249999999996,16841.685185185182
S0012,高温,2019-07-22 11:00:00,2019-07-22 15:00:00,2019-07-22 09:00:00,2019-07-22 17:00:00,5,5,9,7,1,0,26017.312499999996,monthly_quantile,1.0,18051.833333333332,3411.5833333333394,4.0,33444.99999999999,25692.944444444445
S0013,高温,2019-07-26 11:00:00,2019-07-26 15:00:00,2019-07-26 09:00:00,2019-07-26 17:00:00,5,5,9,7,0,0,26017.312499999996,monthly_quantile,1.0,12225.104166666675,2056.4166666666715,5.0,31099.083333333336,25673.51851851852
S0014,高温,2019-07-27 10:00:00,2019-07-27 16:00:00,2019-07-27 08:00:00,2019-07-27 18:00:00,7,7,11,7,1,0,26017.312499999996,monthly_quantile,1.0,15359.83333333334,3277.4166666666533,4.0,33974.16666666666,23620.272727272724
S0015,高温,2019-07-28 09:00:00,2019-07-28 16:00:00,2019-07-28 07:00:00,2019-07-28 18:00:00,8,8,12,7,1,0,26017.312499999996,monthly_quantile,1.0,9732.645833333332,2920.4166666666715,3.0,31732.416666666664,22181.29861111111
S0016,高温,2019-08-02 11:00:00,2019-08-02 15:00:00,2019-08-02 09:00:00,2019-08-02 17:00:00,5,5,9,8,0,0,27881.145833333336,monthly_quantile,1.0,414.1875,1982.3333333333285,1.0,28295.333333333336,22409.657407407405
S0017,高温,2019-08-03 10:00:00,2019-08-03 15:00:00,2019-08-03 08:00:00,2019-08-03 17:00:00,6,6,10,8,0,0,27881.145833333336,monthly_quantile,1.0,38.937499999989086,2335.1666666666642,1.0,27920.083333333325,20548.074999999997
S0018,高温,2019-08-04 10:00:00,2019-08-04 15:00:00,2019-08-04 08:00:00,2019-08-04 17:00:00,6,6,10,8,0,0,27881.145833333336,monthly_quantile,1.0,0.0,2581.083333333332,0.0,27664.083333333332,19085.591666666667
S0019,高温,2019-08-05 10:00:00,2019-08-05 15:00:00,2019-08-05 08:00:00,2019-08-05 17:00:00,6,6,10,8,0,0,27881.145833333336,monthly_quantile,1.0,5970.395833333321,2385.5833333333358,3.0,31986.91666666667,24149.5
S0020,高温,2019-08-06 11:00:00,2019-08-06 15:00:00,2019-08-06 09:00:00,2019-08-06 17:00:00,5,5,9,8,1,0,27881.145833333336,monthly_quantile,1.0,15702.16666666665,2701.083333333332,4.0,34245.25,27736.629629629624
S0021,高温,2019-08-12 12:00:00,2019-08-12 15:00:00,2019-08-12 10:00:00,2019-08-12 17:00:00,4,4,8,8,0,0,27881.145833333336,monthly_quantile,1.0,1191.354166666657,2198.9166666666642,1.0,29072.499999999993,22362.729166666664
S0022,高温,2019-08-13 10:00:00,2019-08-13 15:00:00,2019-08-13 08:00:00,2019-08-13 17:00:00,6,6,10,8,0,0,27881.145833333336,monthly_quantile,1.0,5687.7083333333285,2181.1666666666642,2.0,31797.916666666664,23460.00833333333
