sample_id,split
S0001,train
S0002,val
S0004,train
S0005,train
S0006,train
S0007,train
S0008,test
S0010,train
S0012,train
S0013,train
S0014,train
S0015,val
S0016,train
S0017,train
S0019,test
S0020,val
S0021,test
S0022,val
S0023,train
S0024,test
S0025,train
S0027,train
S0028,test
S0029,val
S0030,train
S0031,train
S0032,train
S0033,train
S0034,train
S0035,train
S0036,test
S0037,val
S0038,train
S0039,train
S0040,test
S0041,test
S0042,test
S0043,train
S0044,train
S0045,train
S0046,val
S0047,test
S0050,val
S0051,val
S0052,test
S0053,train
S0054,train
S0066,test
S0067,train
S0068,test
S0069,train
S0074,train
S0076,train
S0077,val
S0078,train
S0079,train
S0080,train
S0081,val
S0082,test
S0083,train
S0084,val
S0085,val
S0086,train
S0087,val
S0088,test
S0089,train
S0090,train
S0091,train
S0092,train
S0094,val
S0095,train
S0096,train
S0097,train
S0098,train
S0099,train
S0100,train
S0101,val
S0102,test
S0103,train
S0104,train
S0105,train
S0106,train
S0107,train
S0108,train
S0111,train
S0112,train
S0113,train
S0114,train
S0119,train
S0120,train
S0121,train
S0122,train
S0123,train
S0124,train
S0125,train
S0128,train
S0129,train
S0130,test
S0131,train
S0132,train
S0133,train
S0134,train
S0135,test
S0137,train
S0138,train
S0139,val
S0143,train
S0144,train
S0145,train
S0146,val
S0147,test
S0149,train
S0150,train
S0151,test
S0152,train
S0153,train
S0154,train
S0155,train
S0156,train
S0157,train
S0158,train
S0159,train
S0160,val
S0161,train
S0162,train
S0163,train
S0164,train
S0165,train
S0166,train
S0167,val
S0168,train
S0169,train
S0170,train
S0171,train
S0172,train
S0173,train
S0174,test
S0175,val
S0176,train
S0177,test
S0178,test
S0179,test
S0180,val
S0182,train
S0183,train
S0184,train
S0185,train
S0188,train
S0189,train
S0191,train
S0193,train
S0194,train
S0197,train
S0199,train
S0201,train
S0203,train
S0204,train
S0205,train
S0206,train
S0207,train
S0208,val
S0209,train
S0210,train
S0211,test
S0213,val
S0214,train
S0215,train
S0216,train
S0217,train
S0218,train
S0219,train
S0221,train
S0222,train
S0223,train
S0225,train
S0226,test
S0227,val
S0230,train
S0232,train
S0233,val
S0235,train
S0236,test
S0237,test
S0239,train
S0240,val
S0241,train
S0242,train
S0243,train
S0244,train
S0245,train
S0246,val
S0247,train
S0248,train
S0249,test
S0250,test
S0251,test
S0252,train
S0253,val
S0254,train
S0255,val
S0256,train
S0257,train
S0258,train
S0259,train
S0260,val
S0261,test
S0262,train
S0263,train
S0264,test
S0265,train
S0266,val
S0267,test
S0269,test
S0270,train
S0271,train
S0272,train
S0273,train
S0274,train
S0275,train
S0276,train
S0278,train
S0279,train
S0280,train
S0281,val
S0283,train
S0284,train
S0285,val
S0286,train
S0288,train
