tau_mode,group_type,group_value,count,tau
monthly_quantile,global,all,26304,22904.5
monthly_quantile,month,1,2232,22820.145833333332
monthly_quantile,month,2,2040,21859.458333333332
monthly_quantile,month,3,2232,20626.562499999993
monthly_quantile,month,4,2160,18945.666666666664
monthly_quantile,month,5,2232,19349.458333333332
monthly_quantile,month,6,2160,22475.541666666668
monthly_quantile,month,7,2232,26017.312499999996
monthly_quantile,month,8,2232,27881.145833333336
monthly_quantile,month,9,2160,26109.3125
monthly_quantile,month,10,2232,22707.416666666664
monthly_quantile,month,11,2160,22354.0625
monthly_quantile,month,12,2232,23635.479166666664
monthly_quantile,season,autumn,6552,23575.770833333332
monthly_quantile,season,spring,6624,19725.104166666668
monthly_quantile,season,summer,6624,25529.10416666666
monthly_quantile,season,winter,6504,22817.791666666668
