sample_index,selected_method,selected_score,initial_local_score,global_objective
0,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.1175202808711511,0.1175202808711511,0.06263978999473047
1,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.04954244926711643,0.04954244926711643,0.06263978999473047
2,targeted_seed45_Conditional_Transformer_Risk_Generator,0.030752023443079493,0.030752023443079493,0.06263978999473047
3,targeted_seed46_RiskKNN_Bootstrap_Generator,0.09223958649403159,0.09223958649403159,0.06263978999473047
4,targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.09370860774091393,0.09370860774091393,0.06263978999473047
5,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.08864553369589319,0.08864553369589319,0.06263978999473047
6,enhanced_gan,0.7204281491750005,0.7204281491750005,0.06263978999473047
7,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.7199069205420263,0.6474306055939183,0.06263978999473047
8,DurationAware_RiskFirst_TCN_Empirical,0.19757577535981913,0.19757577535981913,0.06263978999473047
9,targeted_seed47_RiskKNN_Bootstrap_Generator,0.22575392346022588,0.06703623075885,0.06263978999473047
10,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.4251825825518958,0.16944311582483768,0.06263978999473047
11,targeted_seed46_Conditional_Transformer_Risk_Generator,0.10866574436274494,0.10866574436274494,0.06263978999473047
12,ganfix_Conditional_Transformer_Risk_Generator,0.14720454571159777,0.14720454571159777,0.06263978999473047
13,DurationAware_RiskFirst_TCN_Empirical,0.16976293494195807,0.16976293494195807,0.06263978999473047
14,targeted_seed45_Expanded_ValSelected_Model_Ensemble,0.06843635810927692,0.06843635810927692,0.06263978999473047
15,RiskFirst_TCN_Empirical,0.13941840324610963,0.13941840324610963,0.06263978999473047
16,enhanced_gan,0.6464335509351642,0.6464335509351642,0.06263978999473047
17,targeted_seed46_RiskKNN_Bootstrap_Generator,0.10031074770242251,0.10031074770242251,0.06263978999473047
18,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.6323457137827566,0.6323457137827566,0.06263978999473047
19,targeted_seed46_Expanded_ValSelected_Model_Ensemble,0.2618489199409829,0.2618489199409829,0.06263978999473047
20,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.5511606278519084,0.5511606278519084,0.06263978999473047
21,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,1.000317611668096,0.598427219338491,0.06263978999473047
22,targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,0.43300476825148865,0.43300476825148865,0.06263978999473047
23,ganfix_Conditional_Transformer_Risk_Generator,0.8564441962932079,0.8564441962932079,0.06263978999473047
24,DurationAware_RiskFirst_TCN_Empirical,0.44199116562272445,0.44199116562272445,0.06263978999473047
25,DurationAware_RiskFirst_TCN_Empirical,0.4520969195177704,0.4520969195177704,0.06263978999473047
26,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.8469221530869777,0.7754076961692102,0.06263978999473047
