sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10
0,RiskFirst_TCN_Empirical,0.23352405895608028,26.2368032282049,7.214057098735458,8.474754853682084,15.0,0.47080565523570084,0.23352405895608028,2.0407382550005684,6.667695600677028,4.226821938862056,0.2914255382630285,0.5468342928344662,0.8302656015154283,0.6093837968801373,0.3457441792927955,0.40871419016761495,0.3457441792927955,0.3457441792927955,0.3457441792927955,0.3457441792927955
1,ordinary_conditional_tcn,0.1690295953719329,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.4847290548491505,0.5073671541415287,0.17202698563650626,1.093785161872596,0.5372589784398593,0.1690295953719329,0.33012946062103393,0.28780706358591535,0.174058357319542,0.22213181756463898,0.4000293899382724,0.22213181756463898,0.22213181756463898,0.22213181756463898,0.22213181756463898
2,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.14066025920299172,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.3091169555555938,0.4935128358617724,0.14152042828519398,0.7990296201290048,0.256116815717102,0.3227101396771113,0.28761632956373967,0.18884709295752317,0.18838105114222864,0.21355222071951055,0.14066025920299172,0.21355222071951055,0.21355222071951055,0.21355222071951055,0.21355222071951055
3,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.14263645575188963,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.27440578569831486,0.4364899450308683,0.4659567463951483,1.387168740392209,0.3768655121965499,0.23464368540493408,0.23704923050487867,0.2098399031043953,0.2238354626354066,0.16152990506384934,0.14263645575188963,0.16152990506384934,0.16152990506384934,0.16152990506384934,0.16152990506384934
4,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.11457728971916772,43.51252365112305,18.871251106262207,8.61840534210205,9.0,0.24809039351893308,0.2995809720959864,0.2767415348961644,1.1004080134204186,0.3871246572802645,0.34108282153394115,0.3864467952774697,0.37973594466112714,0.18453391032494593,0.17089850237130033,0.11457728971916772,0.17089850237130033,0.17089850237130033,0.17089850237130033,0.17089850237130033
5,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.13045396088098116,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.17427770175956506,0.17433537269015692,0.7265997290687742,0.46827836732584854,0.3526757663771241,0.20890858794089356,0.511509264994798,0.22190318127574385,0.4510711482595655,0.20242196515185476,0.13045396088098116,0.20242196515185476,0.20242196515185476,0.20242196515185476,0.20242196515185476
6,enhanced_gan,0.7204281491750005,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.8665874364564368,0.899967420253895,0.9011592257178316,2.447642555540826,0.7204281491750005,1.0522434701366736,0.787672043845216,0.880131817623794,0.8974310297759139,0.8335121225814085,0.8586506248457674,0.8335121225814085,0.8335121225814085,0.8335121225814085,0.8335121225814085
7,DurationAware_RiskFirst_TCN_Empirical,0.6474306055939183,47.330928802490234,19.516892433166504,8.594188690185547,11.0,0.6474306055939183,1.1179253194134744,1.2004423131223985,0.9886430014526049,1.0532584636579336,0.9740844970088514,0.9240656507665745,0.7806983681160803,0.8142409637700295,0.8543253813388445,0.9869999031181648,0.8543253813388445,0.8543253813388445,0.8543253813388445,0.8543253813388445
8,DurationAware_RiskFirst_TCN_Empirical,0.19757577535981913,48.50658468766646,19.93110318617387,8.647556565024637,11.227272727272727,0.19757577535981913,0.4861437120550606,0.383389927760044,0.7229593331773616,0.9133459609613461,0.612142061939999,0.7758432154651566,0.83025506501505,0.7974088678796704,0.8598007308315274,0.9909058772275865,0.8598007308315274,0.8598007308315274,0.8598007308315274,0.8598007308315274
9,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.2387912658566762,50.7606406211853,26.04049015045166,8.443650245666504,13.0,0.7861589726905227,0.9249655574576544,1.0926384572149217,0.9412193006428723,0.6240798050501266,0.25450674846358845,0.39917081539221266,0.3801292688417563,0.27296298305119066,0.2387912658566762,0.49239862106822074,0.2387912658566762,0.2387912658566762,0.2387912658566762,0.2387912658566762
