sample_index,selected_method,selected_score,global_objective
0,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.1175202808711511,0.13920366026629313
1,targeted_seed47_RiskKNN_Bootstrap_Generator,0.07424387488232684,0.13920366026629313
2,targeted_seed47_RiskKNN_Bootstrap_Generator,0.22829490724962354,0.13920366026629313
3,targeted_seed46_RiskKNN_Bootstrap_Generator,0.09223958649403159,0.13920366026629313
4,targeted_seed46_RiskKNN_Bootstrap_Generator,0.2579045268696974,0.13920366026629313
5,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.08864553369589319,0.13920366026629313
6,targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,0.7540326558869219,0.13920366026629313
7,targeted_seed45_Conditional_TCN_Risk_Generator,0.8065603819508937,0.13920366026629313
8,targeted_seed47_Conditional_TCN_Risk_Generator,0.5205619733153598,0.13920366026629313
9,targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.27296298305119066,0.13920366026629313
10,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.5134638189359009,0.13920366026629313
11,targeted_seed46_Expanded_ValSelected_Model_Ensemble,0.13994437895784967,0.13920366026629313
12,targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.1654952216108207,0.13920366026629313
13,DurationAware_RiskFirst_TCN_Empirical,0.16976293494195807,0.13920366026629313
14,targeted_seed46_Conditional_TCN_Risk_Generator,0.15968886169793428,0.13920366026629313
15,RiskFirst_TCN_Empirical,0.13941840324610963,0.13920366026629313
16,enhanced_gan,0.6464335509351642,0.13920366026629313
17,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.2029285892013071,0.13920366026629313
18,targeted_seed47_Conditional_TCN_Risk_Generator,1.2784012547348507,0.13920366026629313
19,targeted_seed46_Expanded_ValSelected_Model_Ensemble,0.2618489199409829,0.13920366026629313
20,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.5511606278519084,0.13920366026629313
21,targeted_seed46_Conditional_Transformer_Risk_Generator,0.598427219338491,0.13920366026629313
22,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.4787360626322417,0.13920366026629313
23,RiskFirst_TCN_Empirical,1.2819462906604817,0.13920366026629313
24,targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,0.7625639558819509,0.13920366026629313
25,RiskFirst_TCN_Empirical,0.47625141685080163,0.13920366026629313
26,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.8469221530869777,0.13920366026629313
