method,mean_risk_score,mean_risk_rank,wins_count,top3_count,available_dataset_count,avg_q99_cum_deficit_error,avg_core_q99_cum_deficit_error,avg_netload_ramp_max_mae,avg_imbalance_duration_mae,avg_extreme_degree_match_rate
TargetSelected_empirical_riskfirst_evt_pool_paper_weights,0.13957955513467518,11.666666666666666,0,0,3,3.570696123833225,9.487320407891275,1.572458867648215,6.724206349206349,0.43827160493827155
TargetSelected_val_calibrated_rf_duration_pool_global_main,0.14425921704018405,13.666666666666666,0,1,3,6.58509416908386,5.816223540012925,1.6439528079553876,6.76521164021164,0.48434744268077595
TargetSelected_empirical_rf_duration_pool_paper_weights,0.14718666497048769,14.0,0,0,3,3.77334658915422,9.487320407891275,1.5998721360862875,6.764550264550265,0.48919753086419754
TargetSelected_empirical_rf_duration_pool_core_ramp_guard,0.15157116618812247,15.333333333333334,0,0,3,2.851629279800013,9.487320407891275,1.6237336684699926,6.79805996472663,0.5050705467372133
TargetSelected_empirical_riskfirst_evt_pool_core_ramp_guard,0.1517874019434914,15.333333333333334,0,0,3,2.851629279800013,9.487320407891275,1.5925631782672276,6.987874779541446,0.4645061728395062
TargetSelected_empirical_rf_duration_pool_global_main,0.15498011634323935,15.333333333333334,0,0,3,6.095026517989443,9.517385279027605,1.582679639274911,6.662918871252205,0.44025573192239853
TargetSelected_empirical_riskfirst_evt_pool_duration_guard,0.15776985531235935,12.0,0,0,3,9.412447811133712,8.19125129364739,1.591910307245677,6.6305114638447975,0.45061728395061723
TargetSelected_val_calibrated_rf_duration_pool_global_q99,0.15936464415607574,15.666666666666666,0,0,3,6.58509416908386,5.816223540012925,1.6572578272995695,7.058862433862434,0.5491622574955909
TargetSelected_empirical_rf_duration_pool_duration_guard,0.1633479937996372,15.333333333333334,0,0,3,9.615098276454708,8.19125129364739,1.6333777951373822,6.568562610229276,0.49272486772486773
TargetSelected_val_calibrated_riskfirst_evt_pool_global_main,0.168622719710552,17.333333333333332,0,1,3,4.263414240248636,6.280317765578516,1.752469184539293,6.863536155202822,0.4332010582010582
TargetSelected_val_calibrated_rf_duration_pool_duration_guard,0.17426668633460077,20.0,0,1,3,12.42523311927548,5.786158668876598,1.7042147498168738,6.447751322751323,0.5368165784832452
TargetSelected_val_calibrated_rf_duration_pool_core_ramp_guard,0.17497604841730963,18.0,0,0,3,6.095026517989443,9.544674985687957,1.6239442084416502,6.833553791887124,0.5368165784832452
DurationAware_RiskFirst_TCN_Empirical,0.1765797829128565,20.0,0,1,3,12.42523311927548,5.786158668876598,1.7201994485527214,6.423280423280424,0.5368165784832452
TargetSelected_empirical_rf_duration_pool_global_q99,0.17998186688054316,22.333333333333332,0,0,3,6.095026517989443,9.517385279027605,1.6200061647183563,7.042989417989418,0.5085978835978836
TargetSelected_empirical_riskfirst_evt_pool_q99_guard,0.18679197167787862,20.0,0,0,3,12.91106029106661,8.408601922818127,1.592649062140465,6.9867724867724865,0.46296296296296297
TargetSelected_empirical_riskfirst_evt_pool_global_main,0.18835127872750865,24.333333333333332,0,0,3,7.078340956476467,9.517385279027605,1.703266907991944,6.828924162257496,0.45723104056437386
TargetSelected_val_calibrated_riskfirst_evt_pool_duration_guard,0.18836743650331914,21.333333333333332,1,1,3,11.734127739968935,5.786158668876598,1.7163555113546038,6.731922398589066,0.44708994708994715
TargetSelected_val_calibrated_rf_duration_pool_paper_weights,0.19235493763053982,22.0,0,0,3,11.936778205289931,8.248605871444072,1.6227448470908488,6.889109347442681,0.5368165784832452
TargetSelected_val_calibrated_riskfirst_evt_pool_core_ramp_guard,0.19271380000566518,21.666666666666668,0,0,3,5.892376052668449,9.544674985687957,1.6448194470136557,7.166225749559083,0.45216049382716045
TargetSelected_empirical_rf_duration_pool_q99_guard,0.1964511766692829,25.0,0,0,3,12.708409825745614,8.408601922818127,1.6656188640623484,6.916005291005291,0.48919753086419754
TargetSelected_val_calibrated_riskfirst_evt_pool_paper_weights,0.2145182392162707,27.0,0,0,3,11.734127739968935,8.248605871444072,1.6735529816822694,7.164021164021165,0.4362874779541446
TargetSelected_empirical_riskfirst_evt_pool_global_q99,0.21492645375080421,31.333333333333332,0,0,3,6.195239858744557,9.148305472017704,1.766091285249032,7.474206349206349,0.46759259259259256
TargetSelected_val_calibrated_rf_duration_pool_q99_guard,0.22232539799367132,31.666666666666668,0,0,3,15.030089754580837,8.465956500614809,1.6745707036738346,7.102072310405643,0.5368165784832452
TargetSelected_val_calibrated_riskfirst_evt_pool_global_q99,0.22914652109283873,29.666666666666668,1,1,3,9.293563114044105,6.0063097975932065,1.871621830676503,7.4259259259259265,0.43276014109347444
TargetSelected_val_calibrated_riskfirst_evt_pool_q99_guard,0.2359645874935519,34.333333333333336,0,0,3,15.232740219901833,8.465956500614809,1.6581331076179209,7.438712522045855,0.460978835978836
TargetSelected_empirical_ganfix_model_pool_global_main,0.24899941599079098,30.0,0,0,3,13.2166739931483,11.70881515385461,1.570506106816695,7.306657848324515,0.3630952380952381
TargetSelected_empirical_targeted_expanded_pool_core_ramp_guard,0.2521643082407065,34.0,0,0,3,9.739245970826465,13.594624436724422,1.7001401672307201,6.860229276895944,0.42989417989417983
TargetSelected_empirical_targeted_expanded_pool_paper_weights,0.25257546621587396,31.333333333333332,0,0,3,9.739245970826465,13.595536546735204,1.700059647649858,6.901455026455026,0.4437830687830688
TargetSelected_empirical_targeted_expanded_pool_duration_guard,0.2640815681932574,34.0,0,1,3,9.739245970826465,13.595536546735204,1.6775565004467243,7.072751322751323,0.44069664902998235
TargetSelected_empirical_ganfix_model_pool_paper_weights,0.27247594838651046,35.0,0,0,3,15.380351102854723,14.944707281820667,1.6310694967562351,6.912698412698414,0.4911816578483245
TargetSelected_empirical_ganfix_model_pool_duration_guard,0.27310466233326297,37.333333333333336,0,0,3,15.380351102854723,12.486544939721995,1.6234185775107812,7.322530864197531,0.4947089947089947
TargetSelected_empirical_ganfix_model_pool_q99_guard,0.2734186995216515,35.666666666666664,1,1,3,15.380351102854723,14.944707281820667,1.6275899823932318,6.942901234567902,0.5332892416225748
TargetSelected_empirical_all_method_pool_global_q99,0.27546558933823023,41.333333333333336,0,0,3,13.712337188740554,14.55276315108813,1.6168927287313215,7.194664902998237,0.5209435626102292
TargetSelected_empirical_ganfix_model_pool_core_ramp_guard,0.2768546787942518,36.666666666666664,0,0,3,15.380351102854723,14.944707281820667,1.6525171537313514,6.89263668430335,0.47883597883597884
RiskFirst_TCN_Empirical,0.2806963858874442,39.333333333333336,0,0,3,8.267417827409384,11.771689207730246,1.6627285046294242,8.44753086419753,0.6278659611992945
TargetSelected_empirical_all_method_pool_core_ramp_guard,0.2836350265288941,43.333333333333336,0,0,3,13.70122249219772,15.112968506037118,1.6997292727180957,6.932980599647267,0.4715608465608465
TargetSelected_empirical_all_method_pool_duration_guard,0.2840123474957823,42.666666666666664,0,0,3,13.70122249219772,15.112968506037118,1.645384276915837,7.083994708994709,0.445326278659612
TargetSelected_empirical_ganfix_model_pool_global_q99,0.2840757865664317,42.0,0,0,3,12.945204089457874,13.691719236257752,1.6665026311217204,7.428791887125221,0.43827160493827155
TargetSelected_empirical_all_method_pool_paper_weights,0.28849755335488747,44.666666666666664,0,0,3,13.70122249219772,15.100281393952722,1.7068613599823124,7.035934744268078,0.4715608465608465
TargetSelected_empirical_targeted_expanded_pool_q99_guard,0.2916158683090427,43.333333333333336,0,1,3,9.893365857720857,13.595536546735204,1.783298046112287,7.205687830687832,0.45458553791887124
