sample_index,selected_method,selected_score,global_objective
0,extreme_conditioned_gaussian_copula,0.09222046879714384,0.10976098145989077
1,DurationAware_RiskFirst_TCN_Empirical,0.006917651048693707,0.10976098145989077
2,targeted_seed45_RiskKNN_Bootstrap_Generator,0.18249564805629992,0.10976098145989077
3,DurationAware_RiskFirst_TCN_Empirical,0.1282273448970996,0.10976098145989077
4,ordinary_conditional_tcn,0.10807096592034877,0.10976098145989077
5,DurationAware_RiskFirst_TCN_Empirical,0.19723405821653311,0.10976098145989077
6,targeted_seed45_RiskKNN_Bootstrap_Generator,0.09868552436497541,0.10976098145989077
7,targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,0.16579426671076594,0.10976098145989077
8,targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,0.5447025246711225,0.10976098145989077
9,DurationAware_RiskFirst_TCN_Empirical,0.09128925512378508,0.10976098145989077
10,DurationAware_RiskFirst_TCN_Empirical,0.12715834566356846,0.10976098145989077
11,targeted_seed45_Expanded_ValSelected_Model_Ensemble,0.05971473809053514,0.10976098145989077
12,ordinary_conditional_tcn,0.18611054903273128,0.10976098145989077
13,targeted_seed45_Conditional_TCN_Risk_Generator,0.5467838794324802,0.10976098145989077
14,DurationAware_RiskFirst_TCN_Empirical,0.15189946992330283,0.10976098145989077
15,RiskFirst_TCN_Empirical,0.1489220355820399,0.10976098145989077
16,DurationAware_RiskFirst_TCN_Empirical,0.42134061521394217,0.10976098145989077
17,targeted_seed45_Conditional_TCN_Risk_Generator,1.4008720537766493,0.10976098145989077
18,targeted_seed46_Conditional_Transformer_Risk_Generator,3.180804936185543,0.10976098145989077
19,DurationAware_RiskFirst_TCN_Empirical,0.335581335779194,0.10976098145989077
20,targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,0.1692168974480721,0.10976098145989077
21,RiskFirst_TCN_Empirical,0.17277677775894612,0.10976098145989077
22,targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,1.706351105321858,0.10976098145989077
23,traditional_gaussian_copula,0.08723499016518607,0.10976098145989077
