sample_index,selected_method,selected_score,global_objective
0,targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,0.16486986708872836,0.13799054366608
1,DurationAware_RiskFirst_TCN_Empirical,0.1748645265059561,0.13799054366608
2,targeted_seed47_Conditional_TCN_Risk_Generator,0.18598367946826783,0.13799054366608
3,targeted_seed45_Conditional_Transformer_Risk_Generator,0.08861042414011858,0.13799054366608
4,targeted_seed45_RiskKNN_Bootstrap_Generator,0.028284906340855443,0.13799054366608
5,DurationAware_RiskFirst_TCN_Empirical,0.08988168364565173,0.13799054366608
6,targeted_seed46_Conditional_TCN_Risk_Generator,0.16469119634333232,0.13799054366608
7,targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,0.5939408396088188,0.13799054366608
8,targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula,0.2676997987711205,0.13799054366608
9,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.2995367843208837,0.13799054366608
10,targeted_seed45_Conditional_Transformer_Risk_Generator,0.07348857951078092,0.13799054366608
11,ganfix_TransformerVAE_Augmented_TailWeighted_Copula,0.07396918791640474,0.13799054366608
12,ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.4736981031206441,0.13799054366608
13,targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5144893933762754,0.13799054366608
14,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.046739623521022705,0.13799054366608
15,ganfix_Conditional_NormalizingFlow_Risk_Generator,0.44785650157374113,0.13799054366608
16,targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,4.2186082588921465,0.13799054366608
17,DurationAware_RiskFirst_TCN_Empirical,0.3287416242816856,0.13799054366608
18,RiskFirst_TCN_Empirical,0.16830723579582746,0.13799054366608
19,DurationAware_RiskFirst_TCN_Empirical,0.5636612397853502,0.13799054366608
20,RiskFirst_TCN_Empirical,0.38726821623512603,0.13799054366608
