sample_index,selected_method,selected_score,target_cum,target_core,target_ramp,target_duration,score_DurationAware_RiskFirst_TCN_Empirical,score_RiskFirst_TCN_Empirical,score_extreme_conditioned_gaussian_copula,score_traditional_gaussian_copula,score_enhanced_gan,score_ordinary_conditional_tcn,score_ganfix_Conditional_NormalizingFlow_Risk_Generator,score_ganfix_Conditional_Transformer_Risk_Generator,score_ganfix_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_ganfix_TransformerVAE_Augmented_TailWeighted_Copula,score_ganfix_ValSelected_Model_Ensemble,score_ganfix_ValSelected_Model_Ensemble_Margin_0.00,score_ganfix_ValSelected_Model_Ensemble_Margin_0.05,score_ganfix_ValSelected_Model_Ensemble_Margin_0.10,score_targeted_seed45_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed45_Conditional_TCN_Risk_Generator,score_targeted_seed45_Conditional_Transformer_Risk_Generator,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble,score_targeted_seed45_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed45_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_RiskKNN_Bootstrap_Generator,score_targeted_seed45_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed45_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed46_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed46_Conditional_TCN_Risk_Generator,score_targeted_seed46_Conditional_Transformer_Risk_Generator,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble,score_targeted_seed46_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed46_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_RiskKNN_Bootstrap_Generator,score_targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed46_TransformerVAE_Augmented_TailWeighted_Copula,score_targeted_seed47_Conditional_NormalizingFlow_Risk_Generator,score_targeted_seed47_Conditional_TCN_Risk_Generator,score_targeted_seed47_Conditional_Transformer_Risk_Generator,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble,score_targeted_seed47_Expanded_ValSelected_Model_Ensemble_Margin_0.05,score_targeted_seed47_GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_RiskKNN_Bootstrap_Generator,score_targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,score_targeted_seed47_TransformerVAE_Augmented_TailWeighted_Copula
0,RiskFirst_TCN_Empirical,0.13316375464665614,15.235934946658839,3.1039118731979043,5.801906108856201,8.0,0.1579131894562532,0.13316375464665614,0.7138528008256712,0.5679018803853393,0.46737488940323846,0.2961483044890434,0.1867712780222457,0.25014898270931624,0.3312589016692236,0.15074495154067452,0.1675975570216217,0.25014898270931624,0.25014898270931624,0.25014898270931624,0.15074495154067452,0.23277723039510745,0.1784797630957612,0.17501570226222535,0.3312589016692236,0.3312589016692236,0.3312589016692236,0.27512338517853047,0.3564628468656937,0.20569684867149582,0.17824030131161928,0.2212069123061271,0.27678162604881584,0.27678162604881584,0.27678162604881584,0.3312589016692236,0.1886597463653542,0.18373351278168007,0.1930099127914498,0.16486986708872836,0.434249528993082,0.19907285597301305,0.17525899058666666,0.17525899058666666,0.3312589016692236,0.17525899058666666,0.2615177992821774,0.26186924489000263
1,DurationAware_RiskFirst_TCN_Empirical,0.1748645265059561,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.1748645265059561,0.26231666242172225,0.604068593104826,0.262203514784585,0.49715877327390223,0.833371002028839,0.41025063551171803,0.32493501139704534,0.39190198683525457,0.43451999221405224,0.7910410691334279,0.32493501139704534,0.32493501139704534,0.32493501139704534,0.43451999221405224,0.44153562584002104,0.892942420395739,0.2606804935240049,0.39190198683525457,0.39190198683525457,0.39190198683525457,0.47225478403835747,0.4251859651398045,0.6151988486944862,0.6572322508544449,0.6296206337719983,0.5758548746940717,0.5758548746940717,0.5758548746940717,0.39190198683525457,0.5434904804422316,0.6779860632255623,0.46558853091334224,0.37895864967708637,0.30901225701334867,0.5613019536430777,0.46373329235358796,0.46373329235358796,0.39190198683525457,0.46373329235358796,0.23843140421851286,0.4892936902492204
2,DurationAware_RiskFirst_TCN_Empirical,0.17363211849314636,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.17363211849314636,0.2801578522104219,0.7812209798666918,1.235514835326311,0.25162469220348416,0.5393249869673451,0.4586324710654345,0.4486445350264612,0.35470965480002487,0.6274421198435328,0.45240579186295216,0.4486445350264612,0.4486445350264612,0.4486445350264612,0.6274421198435328,0.6090504290142914,0.4212821682608306,0.5981218831132553,0.35470965480002487,0.35470965480002487,0.35470965480002487,0.5541048653468906,0.4781313225189788,0.4816784280563086,0.20150716874598468,0.7906841685902227,0.5333522319399154,0.5333522319399154,0.5333522319399154,0.35470965480002487,0.5399127171058736,0.5890337276035519,0.3504307982866044,0.5112296121198299,0.18598367946826783,0.6008994834784672,0.42001131841834005,0.42001131841834005,0.35470965480002487,0.42001131841834005,0.5745452913057072,0.2039119362278247
3,targeted_seed47_Expanded_ValSelected_Model_Ensemble,0.058843820776416575,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.25230069432847124,0.4974114056808132,0.5705165949694055,0.7835832524101942,0.6099730032350461,0.4325722186671302,0.4118097113334046,0.2493297682011755,0.14907867612096634,0.091788017250697,0.0996910266462239,0.2493297682011755,0.2493297682011755,0.2493297682011755,0.091788017250697,0.44287063850359576,0.21382123516484106,0.08861042414011858,0.14907867612096634,0.14907867612096634,0.14907867612096634,0.07946910445264892,0.20025962429531935,0.10398936096866503,0.34261601850998935,0.305694708382805,0.2397401532078738,0.2397401532078738,0.2397401532078738,0.14907867612096634,0.07279093217965076,0.19956170144119378,0.19956506889180933,0.6309312194335248,0.28999055115309147,0.14407405529848757,0.058843820776416575,0.058843820776416575,0.14907867612096634,0.058843820776416575,0.09716571075627178,0.22213838135089883
4,targeted_seed45_RiskKNN_Bootstrap_Generator,0.028284906340855443,28.905311584472656,9.675899505615234,5.891976594924927,10.0,0.39202835768330335,0.5616072948145556,0.7888665323076359,0.8161775055759493,0.748326990912192,0.37594374283132415,0.5194261432651606,0.19112561231304248,0.11097215958618911,0.1240681588014588,0.10404008361098793,0.19112561231304248,0.19112561231304248,0.19112561231304248,0.1240681588014588,0.24874683847097057,0.2135626593603476,0.23947459511230382,0.11097215958618911,0.11097215958618911,0.11097215958618911,0.028284906340855443,0.1355751953667569,0.35055521661838673,0.3544002749877209,0.2613915297421587,0.36285489124999687,0.36285489124999687,0.36285489124999687,0.11097215958618911,0.03563945160266341,0.15945958820295017,0.35011500224613207,0.5777437129205361,0.29618941082895206,0.22611391102839667,0.04678025347088206,0.04678025347088206,0.11097215958618911,0.04678025347088206,0.24212710452145023,0.07234013737115295
5,DurationAware_RiskFirst_TCN_Empirical,0.08988168364565173,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.08988168364565173,0.15194633119454887,1.378571935198569,1.0931047179240423,0.7057248095792051,0.15890187876894377,0.4210218084441317,0.23051779393572688,0.2521374324563549,0.28720129295689156,0.6558273012240756,0.23051779393572688,0.23051779393572688,0.23051779393572688,0.28720129295689156,0.3129817453418082,0.43450526567378,0.15685059127780948,0.2521374324563549,0.2521374324563549,0.2521374324563549,0.3194914911643638,0.4737662395291272,0.45173270692005457,0.419059187373622,0.48190937966726033,0.5297728448192438,0.5297728448192438,0.5297728448192438,0.2521374324563549,0.36460176480748785,0.15383846754702254,0.5258158293383131,0.4127541417626598,0.21193342999350168,0.2097607525369458,0.32036781699255484,0.32036781699255484,0.2521374324563549,0.32036781699255484,0.3573792830460082,0.3525043990145098
6,targeted_seed46_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.14475967233071466,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.19236144746725936,0.268540617391541,0.6397686972526626,1.096090401571839,0.7474456721230984,0.2596643065520725,0.421808519936224,0.35969483893708476,0.3071748830383616,0.4097494231836122,0.25864017170689024,0.35969483893708476,0.35969483893708476,0.35969483893708476,0.4097494231836122,0.47487513650596513,0.2702914100599989,0.5187778416152374,0.3071748830383616,0.3071748830383616,0.3071748830383616,0.20484490901164235,0.2546244962866959,0.30732251619105916,0.2511759316633748,0.16469119634333232,0.31964616036048743,0.31964616036048743,0.31964616036048743,0.3071748830383616,0.26001358746046377,0.14475967233071466,0.4088010510312336,0.5256179505554814,0.4719052951210586,0.383334984558628,0.21669889816936638,0.21669889816936638,0.3071748830383616,0.21669889816936638,0.3064616111232247,0.4888969400279896
7,extreme_conditioned_gaussian_copula,0.2982746494455134,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.37708941403908386,0.3758916611019788,0.2982746494455134,1.310451270409295,0.7450584763051019,0.8728265215831774,0.7335730799830216,0.9115526704181558,0.7656558995763634,0.8212972704701992,0.909482456420554,0.9115526704181558,0.9115526704181558,0.9115526704181558,0.8212972704701992,0.9476973425247486,0.748719419434319,1.3249920993586142,0.7656558995763634,0.7656558995763634,0.7656558995763634,0.8708632078806962,0.8259953025396335,0.5939408396088188,0.8648503717407128,1.1067068979465344,0.8363192478806507,0.8363192478806507,0.8363192478806507,0.7656558995763634,0.9278881897743667,0.7853804124725745,1.0104490893357057,1.0203850851849001,0.8012593734563956,0.6769468431246358,0.929984602481958,0.929984602481958,0.7656558995763634,0.929984602481958,0.8113777108680746,0.6483030652603411
8,DurationAware_RiskFirst_TCN_Empirical,0.2016650711078137,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.2016650711078137,0.3093935336954713,0.6707235415261693,1.0946675619804989,0.3998136186881468,0.7238966145202359,0.47171909558939884,0.4372243007088582,0.5870120625186888,0.46859753347977384,0.3716269616422117,0.4372243007088582,0.4372243007088582,0.4372243007088582,0.46859753347977384,0.5288172337100019,0.4384923505598206,0.5581636532061427,0.5870120625186888,0.5870120625186888,0.5870120625186888,0.7111432174693093,0.44802328207490044,0.2783563209124599,0.39335496799690506,0.6287504047906692,0.5439734444063072,0.5439734444063072,0.5439734444063072,0.5870120625186888,0.44476075246160995,0.5427731416435537,0.3108084591291118,0.3783164390278493,0.2907338946114445,0.605359855265311,0.5513780428709135,0.5513780428709135,0.5870120625186888,0.5513780428709135,0.3345416273080596,0.2676997987711205
9,targeted_seed47_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.19894865529694142,33.74382019042969,11.17253303527832,5.915409564971924,11.0,0.48877458750362957,0.2274244204613708,0.6973046775468688,0.5073351771235564,0.6585517598958038,0.5286783763277185,0.2995367843208837,0.4699186186742591,0.5323811324751041,0.80733492789328,0.3566921489118178,0.4699186186742591,0.4699186186742591,0.4699186186742591,0.80733492789328,0.5286288936537511,0.42314796344859495,0.5863956238088571,0.5323811324751041,0.5323811324751041,0.5323811324751041,0.9026001041083626,0.4401214971433379,0.37819864144209003,0.5051830972523743,0.7558981975541836,0.871753440770103,0.871753440770103,0.871753440770103,0.5323811324751041,0.709746586150189,0.3978211619753551,0.6050216153196353,0.4046076323649367,0.45420098732381464,0.3683536267348006,0.3830486720796893,0.3830486720796893,0.5323811324751041,0.3830486720796893,0.19894865529694142,0.30119666787844795
