sample_index,selected_method,selected_score,global_objective
0,DurationAware_RiskFirst_TCN_Empirical,0.1579131894562532,0.24473255914484648
1,DurationAware_RiskFirst_TCN_Empirical,0.1748645265059561,0.24473255914484648
2,DurationAware_RiskFirst_TCN_Empirical,0.17363211849314636,0.24473255914484648
3,DurationAware_RiskFirst_TCN_Empirical,0.25230069432847124,0.24473255914484648
4,DurationAware_RiskFirst_TCN_Empirical,0.39202835768330335,0.24473255914484648
5,DurationAware_RiskFirst_TCN_Empirical,0.08988168364565173,0.24473255914484648
6,DurationAware_RiskFirst_TCN_Empirical,0.19236144746725936,0.24473255914484648
7,DurationAware_RiskFirst_TCN_Empirical,0.37708941403908386,0.24473255914484648
8,DurationAware_RiskFirst_TCN_Empirical,0.2016650711078137,0.24473255914484648
9,RiskFirst_TCN_Empirical,0.2274244204613708,0.24473255914484648
10,DurationAware_RiskFirst_TCN_Empirical,0.13354347811201742,0.24473255914484648
11,DurationAware_RiskFirst_TCN_Empirical,0.15430945696307757,0.24473255914484648
12,extreme_conditioned_gaussian_copula,0.5726532429863572,0.24473255914484648
13,DurationAware_RiskFirst_TCN_Empirical,0.26372415252299475,0.24473255914484648
14,extreme_conditioned_gaussian_copula,0.3904795370627402,0.24473255914484648
15,DurationAware_RiskFirst_TCN_Empirical,0.7193621378329416,0.24473255914484648
16,RiskFirst_TCN_Empirical,0.41432025625001045,0.24473255914484648
17,extreme_conditioned_gaussian_copula,2.737978125667322,0.24473255914484648
18,RiskFirst_TCN_Empirical,0.16830723579582746,0.24473255914484648
19,DurationAware_RiskFirst_TCN_Empirical,0.5636612397853502,0.24473255914484648
20,RiskFirst_TCN_Empirical,0.38726821623512603,0.24473255914484648
