sample_index,selected_method,global_objective
0,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
1,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
2,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
3,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
4,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
5,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
6,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
7,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
8,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
9,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
10,valprotected_x_base_copula,1.2391523717176494
11,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
12,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
13,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
14,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
15,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
16,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
17,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
18,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
19,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
20,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
21,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
22,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
23,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
24,valprotected_x_base_copula,1.2391523717176494
25,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
26,DurationAware_RiskFirst_TCN_Empirical,1.2391523717176494
