sample_index,selected_method,selected_score
0,RiskFirst_TCN_Empirical,0.40884977258718336
1,DurationAware_RiskFirst_TCN_Empirical,0.4511393349090571
2,DurationAware_RiskFirst_TCN_Empirical,1.416147619475604
3,DurationAware_RiskFirst_TCN_Empirical,1.1650683956609083
4,DurationAware_RiskFirst_TCN_Empirical,1.0077277130158124
5,DurationAware_RiskFirst_TCN_Empirical,2.1420136313249416
6,DurationAware_RiskFirst_TCN_Empirical,1.824299042393572
7,DurationAware_RiskFirst_TCN_Empirical,1.2321698275703807
8,DurationAware_RiskFirst_TCN_Empirical,0.4887198823830808
9,DurationAware_RiskFirst_TCN_Empirical,0.637593148996853
10,RiskFirst_TCN_Empirical,1.6794539041052143
11,DurationAware_RiskFirst_TCN_Empirical,0.4854992260110519
12,DurationAware_RiskFirst_TCN_Empirical,0.47137551547067247
13,DurationAware_RiskFirst_TCN_Empirical,0.3250149509066055
14,DurationAware_RiskFirst_TCN_Empirical,0.6104560986275084
15,RiskFirst_TCN_Empirical,0.21184617565494931
16,RiskFirst_TCN_Empirical,0.7355102924075932
17,RiskFirst_TCN_Empirical,0.3294942533623545
18,RiskFirst_TCN_Empirical,0.48811232993615045
19,DurationAware_RiskFirst_TCN_Empirical,0.4590420681966705
20,DurationAware_RiskFirst_TCN_Empirical,0.9873098182356631
21,DurationAware_RiskFirst_TCN_Empirical,0.6234568356672997
22,RiskFirst_TCN_Empirical,0.5301214703976782
23,RiskFirst_TCN_Empirical,0.6386307906036939
24,valprotected_x_base_copula,0.36041354424983396
25,RiskFirst_TCN_Empirical,0.5378233477731291
26,RiskFirst_TCN_Empirical,0.6902063707225676
