sample_index,selected_method,selected_score
0,valprotected_copula_guided_residual,2.2174223303255705
1,valprotected_x_base_copula,1.8842244992201607
2,valprotected_x_base_copula,1.461336909160769
3,valprotected_x_base_copula,1.841318730194081
4,valprotected_x_base_copula,2.147440302889659
5,valprotected_x_base_copula,2.5174071019771733
6,valprotected_x_base_copula,2.4499182266708335
7,valprotected_x_base_copula,1.4958237994776882
8,valprotected_x_base_copula,1.308804535682971
9,valprotected_x_base_copula,1.7929288227884712
10,valprotected_x_base_copula,1.8783383173721748
11,valprotected_x_base_copula,1.9586970635324676
12,valprotected_x_base_copula,1.420379408261652
13,valprotected_x_base_copula,2.052099691116371
14,valprotected_x_base_copula,0.8727955603102436
15,valprotected_x_base_copula,0.5589144626910604
16,valprotected_copula_guided_residual,2.2144575913478524
17,valprotected_x_base_copula,2.0388271602633155
18,valprotected_copula_guided_residual,1.8050877962399658
19,valprotected_copula_guided_residual,0.824855731603361
20,valprotected_copula_guided_residual,3.066048457658404
21,valprotected_x_base_copula,4.468953464745613
22,valprotected_x_base_copula,0.9844231467706686
23,valprotected_copula_guided_residual,0.6945987471785251
24,valprotected_x_base_copula,0.36041354424983396
25,valprotected_x_base_copula,0.9322535957106972
26,valprotected_copula_guided_residual,2.0432251137586563
