sample_index,selected_method,selected_score
0,valprotected_copula_guided_residual,2.162116582424669
1,valprotected_x_base_copula,1.874430917496709
2,valprotected_x_base_copula,1.5614150617823812
3,valprotected_x_base_copula,1.8608224655229662
4,valprotected_x_base_copula,2.384910134725829
5,valprotected_x_base_copula,2.651622736898031
6,valprotected_x_base_copula,2.5098640058061057
7,valprotected_x_base_copula,1.6191145303123855
8,valprotected_x_base_copula,1.2682189024043435
9,valprotected_x_base_copula,1.9013533857316984
10,valprotected_x_base_copula,1.98586919117759
11,valprotected_x_base_copula,1.9942309639395641
12,valprotected_x_base_copula,1.4759167108213092
13,valprotected_x_base_copula,2.125810253956606
14,valprotected_x_base_copula,0.7285908163123438
15,valprotected_x_base_copula,0.4145381936779309
16,valprotected_copula_guided_residual,2.2245775327940334
17,valprotected_x_base_copula,2.0942234897671947
18,valprotected_copula_guided_residual,1.5896962986485785
19,valprotected_copula_guided_residual,0.6597000068583232
20,valprotected_copula_guided_residual,2.972694109610863
21,valprotected_x_base_copula,4.12666120383709
22,valprotected_x_base_copula,0.8518886315101999
23,valprotected_copula_guided_residual,0.5306329906391318
24,valprotected_x_base_copula,0.2961029668498833
25,valprotected_x_base_copula,0.8462019815933232
26,valprotected_copula_guided_residual,1.7071987162432614
