sample_index,selected_method,selected_score
0,valprotected_copula_guided_residual,2.0740964080074655
1,valprotected_x_base_copula,2.0766934912598285
2,valprotected_x_base_copula,1.5101026437535021
3,valprotected_x_base_copula,2.0006702791009494
4,valprotected_x_base_copula,2.390059883065783
5,valprotected_x_base_copula,3.0145776265416204
6,valprotected_x_base_copula,2.4822887002323184
7,valprotected_x_base_copula,1.6254794264387362
8,valprotected_x_base_copula,1.2483616249231206
9,valprotected_x_base_copula,1.7579688131808595
10,valprotected_x_base_copula,2.0845014090707625
11,valprotected_x_base_copula,2.25505398268466
12,valprotected_x_base_copula,1.5551818790150553
13,valprotected_x_base_copula,2.3120410124125788
14,valprotected_x_base_copula,0.7600818073346892
15,valprotected_x_base_copula,0.4489885432314444
16,valprotected_copula_guided_residual,2.140011667662885
17,valprotected_x_base_copula,2.0502060876059343
18,valprotected_copula_guided_residual,1.5830484306332517
19,valprotected_copula_guided_residual,0.5888876592502019
20,valprotected_copula_guided_residual,2.9780417116200995
21,valprotected_x_base_copula,4.17622919907585
22,valprotected_x_base_copula,0.8570534765448589
23,valprotected_copula_guided_residual,0.48771524453926957
24,valprotected_x_base_copula,0.24868132612045704
25,valprotected_x_base_copula,0.801846197890686
26,valprotected_copula_guided_residual,1.815332915018703
