dataset,method,q99_cum_deficit_error,core_q99_cum_deficit_error,netload_ramp_max_mae,imbalance_duration_mae,max_imbalance_run_mae,extreme_degree_match_rate,risk_score,risk_rank,generated_path,load_wasserstein,load_js,load_acf_mae,wind_power_wasserstein,wind_power_js,wind_power_acf_mae,solar_power_wasserstein,solar_power_js,solar_power_acf_mae,mean_wasserstein,mean_js,acf_mae,corr_matrix_error,cum_deficit_mae,cum_deficit_relative_error,q95_cum_deficit_error,netload_ramp_max_relative_error,q95_netload_ramp_max_error,q99_netload_ramp_max_error,imbalance_duration_relative_error,q95_imbalance_duration_error,q99_imbalance_duration_error,core_cum_deficit_mae,core_q95_cum_deficit_error,core_netload_ramp_max_mae,core_q95_netload_ramp_max_error,core_q99_netload_ramp_max_error,core_imbalance_duration_mae,core_q95_imbalance_duration_error,core_q99_imbalance_duration_error,extreme_degree_adjacent_match_rate,highrisk_wasserstein,highrisk_js,highrisk_acf_mae,highrisk_corr_matrix_error,highrisk_cum_deficit_mae,highrisk_q99_cum_deficit_error,highrisk_netload_ramp_max_mae,highrisk_imbalance_duration_mae,model_name,norm_q99_cum_deficit_error,norm_core_q99_cum_deficit_error,norm_netload_ramp_max_mae,norm_imbalance_duration_mae
singleton,valprotected_x_base_copula,2.955791442594318,1.7990014511422103,1.3297803401947021,5.0476190476190474,1.9523809523809523,,0.07435022065514629,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valprotected_x_base_copula,0.046540050275023614,0.08450928834659154,0.0739652056864117,0.11029411764705882
singleton,XBaseSelected_empirical_duration_xbase_pool_paper_weights,3.759170358627827,2.138747570164462,1.0983611345291138,5.333333333333333,2.0952380952380953,,0.08020503510443336,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_empirical_duration_xbase_pool_paper_weights,0.06009759313945048,0.1057268110852446,0.02918379652456994,0.15441176470588233
singleton,XBaseSelected_empirical_duration_xbase_pool_q99_guard,3.759170358627827,2.138747570164462,1.0983611345291138,5.333333333333333,2.0952380952380953,,0.08020503510443336,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_empirical_duration_xbase_pool_q99_guard,0.06009759313945048,0.1057268110852446,0.02918379652456994,0.15441176470588233
singleton,XBaseSelected_empirical_duration_xbase_pool_core_ramp_guard,3.759170358627827,2.138747570164462,1.1276113986968994,5.428571428571429,2.0,,0.0838259556388667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_empirical_duration_xbase_pool_core_ramp_guard,0.06009759313945048,0.1057268110852446,0.03484394925053854,0.1691176470588236
singleton,XBaseSelected_val_calibrated_riskfirst_xbase_pool_paper_weights,0.19796906165257155,1.4831150077097845,0.9894552826881409,7.285714285714286,2.5238095238095237,,0.08984431921903109,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_val_calibrated_riskfirst_xbase_pool_paper_weights,0.0,0.06478182886700061,0.008109670471017771,0.4558823529411764
singleton,XBaseSelected_val_calibrated_riskfirst_xbase_pool_core_ramp_guard,0.19796906165257155,1.4831150077097845,0.9894552826881409,7.285714285714286,2.5238095238095237,,0.08984431921903109,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_val_calibrated_riskfirst_xbase_pool_core_ramp_guard,0.0,0.06478182886700061,0.008109670471017771,0.4558823529411764
singleton,XBaseSelected_val_calibrated_riskfirst_evt_xbase_pool_q99_guard,0.19796906165257155,1.4831150077097845,1.047177791595459,7.238095238095238,2.380952380952381,,0.09153381620882269,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_val_calibrated_riskfirst_evt_xbase_pool_q99_guard,0.0,0.06478182886700061,0.01927942313606651,0.44852941176470584
singleton,XBaseSelected_val_calibrated_riskfirst_xbase_pool_duration_guard,0.19796906165257155,1.4831150077097845,0.9782227873802185,7.428571428571429,2.4285714285714284,,0.09260974903264707,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_val_calibrated_riskfirst_xbase_pool_duration_guard,0.0,0.06478182886700061,0.005936095607834601,0.47794117647058826
singleton,XBaseSelected_val_calibrated_riskfirst_xbase_pool_q99_guard,0.19796906165257155,1.4831150077097845,0.9782227873802185,7.428571428571429,2.4285714285714284,,0.09260974903264707,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_val_calibrated_riskfirst_xbase_pool_q99_guard,0.0,0.06478182886700061,0.005936095607834601,0.47794117647058826
singleton,XBaseSelected_val_calibrated_riskfirst_evt_xbase_pool_paper_weights,0.19796906165257155,1.4831150077097845,1.0270226001739502,7.571428571428571,2.5238095238095237,,0.09827935802220691,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBaseSelected_val_calibrated_riskfirst_evt_xbase_pool_paper_weights,0.0,0.06478182886700061,0.015379237448427015,0.49999999999999994
