method,mean_risk_score,mean_risk_rank,wins_count,top3_count,available_dataset_count,avg_q99_cum_deficit_error,avg_core_q99_cum_deficit_error,avg_netload_ramp_max_mae,avg_imbalance_duration_mae
valprotected_x_base_copula,0.17560259194510253,22.0,1,1,3,9.755087126649334,3.972313818135968,1.9846864144007366,5.557539682539683
XBaseSelected_empirical_valprotected_copula_pool_core_ramp_guard,0.18068058014193997,16.333333333333332,1,1,3,9.755087126649334,3.972313818135968,2.042272130648295,5.905202821869488
XBaseSelected_empirical_valprotected_copula_pool_duration_guard,0.18068058014193997,16.333333333333332,1,1,3,9.755087126649334,3.972313818135968,2.042272130648295,5.905202821869488
XBaseSelected_empirical_valprotected_copula_pool_global_q99,0.18068058014193997,16.333333333333332,1,1,3,9.755087126649334,3.972313818135968,2.042272130648295,5.905202821869488
XBaseSelected_empirical_valprotected_copula_pool_paper_weights,0.18068058014193997,16.333333333333332,1,1,3,9.755087126649334,3.972313818135968,2.042272130648295,5.905202821869488
XBaseSelected_empirical_valprotected_copula_pool_q99_guard,0.18068058014193997,16.333333333333332,1,1,3,9.755087126649334,3.972313818135968,2.042272130648295,5.905202821869488
XBaseSelected_empirical_valprotected_copula_pool_global_main,0.18407376529947525,23.333333333333332,0,0,3,9.755087126649334,3.972313818135968,2.087178945541382,5.950837742504409
XBaseSelected_empirical_duration_xbase_pool_paper_weights,0.18552257440264644,12.0,0,2,3,14.248915177281015,5.786158668876598,1.7504596710205078,5.611111111111111
XBaseSelected_empirical_duration_xbase_pool_q99_guard,0.18552257440264644,12.0,0,2,3,14.248915177281015,5.786158668876598,1.7504596710205078,5.611111111111111
XBaseSelected_empirical_duration_xbase_pool_core_ramp_guard,0.18672954791412424,12.666666666666666,0,1,3,14.248915177281015,5.786158668876598,1.7602097590764363,5.642857142857142
DurationAware_RiskFirst_TCN_Empirical,0.1901879556148073,17.666666666666668,0,0,3,12.42523311927548,5.786158668876598,1.7201994485527214,6.423280423280424
