sample_index,selected_method,selected_score
0,valprotected_x_base_copula,0.8164186567059631
1,valprotected_x_base_copula,2.4132962546847523
2,valprotected_x_base_copula,1.180160536118283
3,valprotected_x_base_copula,2.6401767224232353
4,valprotected_x_base_copula,2.1348695217644513
5,valprotected_x_base_copula,3.4588129624679915
6,valprotected_x_base_copula,4.041810595324266
7,valprotected_x_base_copula,0.9618787664478228
8,valprotected_x_base_copula,1.775726550152503
9,valprotected_x_base_copula,1.4488448360476298
10,valprotected_x_base_copula,1.5470201195763713
11,valprotected_x_base_copula,2.784737083475161
12,valprotected_x_base_copula,5.494166065296539
13,valprotected_x_base_copula,3.3746405232538863
14,valprotected_x_base_copula,0.3784303929027318
15,valprotected_x_base_copula,1.9993208149923078
16,valprotected_copula_guided_residual,0.6316574348419628
17,valprotected_x_base_copula,1.3150298898891826
18,valprotected_x_base_copula,1.1042578429076872
19,valprotected_x_base_copula,0.46443210021599657
20,valprotected_x_base_copula,1.3307870024437618
21,valprotected_x_base_copula,0.6486256724191937
22,valprotected_copula_guided_residual,1.6070754213687377
23,valprotected_x_base_copula,0.3024580154717864
