sample_index,selected_method,selected_score
0,valprotected_x_base_copula,1.0946292256868997
1,valprotected_x_base_copula,2.35948958301709
2,valprotected_x_base_copula,1.1528855171278085
3,valprotected_x_base_copula,2.4454455822987198
4,valprotected_x_base_copula,2.1948889127169564
5,valprotected_x_base_copula,3.1420235277502035
6,valprotected_x_base_copula,4.187323239639279
7,valprotected_x_base_copula,0.9381008044363564
8,valprotected_x_base_copula,2.169149973257934
9,valprotected_x_base_copula,1.6309343878038012
10,valprotected_x_base_copula,1.701762140127038
11,valprotected_x_base_copula,2.773484057172888
12,valprotected_x_base_copula,5.3486615599795915
13,valprotected_x_base_copula,3.4776216410292866
14,valprotected_x_base_copula,0.5495864343565635
15,valprotected_x_base_copula,2.0673027506434476
16,valprotected_copula_guided_residual,0.6620687786025132
17,valprotected_x_base_copula,1.5615285319495191
18,valprotected_x_base_copula,1.344696833091426
19,valprotected_x_base_copula,0.6762568113554368
20,valprotected_x_base_copula,1.8493538170616701
21,valprotected_x_base_copula,0.9797725799422325
22,valprotected_copula_guided_residual,1.8162389776280692
23,valprotected_x_base_copula,0.4888085324118073
