sample_index,selected_method,global_objective
0,valprotected_x_base_copula,3.95290002087181
1,valprotected_x_base_copula,3.95290002087181
2,valprotected_x_base_copula,3.95290002087181
3,valprotected_x_base_copula,3.95290002087181
4,valprotected_x_base_copula,3.95290002087181
5,valprotected_x_base_copula,3.95290002087181
6,valprotected_x_base_copula,3.95290002087181
7,valprotected_x_base_copula,3.95290002087181
8,valprotected_x_base_copula,3.95290002087181
9,valprotected_x_base_copula,3.95290002087181
10,valprotected_x_base_copula,3.95290002087181
11,valprotected_x_base_copula,3.95290002087181
12,valprotected_x_base_copula,3.95290002087181
13,valprotected_x_base_copula,3.95290002087181
14,valprotected_x_base_copula,3.95290002087181
15,valprotected_x_base_copula,3.95290002087181
16,valprotected_x_base_copula,3.95290002087181
17,valprotected_x_base_copula,3.95290002087181
18,valprotected_x_base_copula,3.95290002087181
19,valprotected_x_base_copula,3.95290002087181
20,valprotected_x_base_copula,3.95290002087181
21,valprotected_x_base_copula,3.95290002087181
22,valprotected_copula_guided_residual,3.95290002087181
23,valprotected_x_base_copula,3.95290002087181
