sample_index,selected_method,global_objective
0,valprotected_x_base_copula,2.5167301714020356
1,valprotected_x_base_copula,2.5167301714020356
2,valprotected_x_base_copula,2.5167301714020356
3,valprotected_x_base_copula,2.5167301714020356
4,valprotected_x_base_copula,2.5167301714020356
5,valprotected_x_base_copula,2.5167301714020356
6,valprotected_x_base_copula,2.5167301714020356
7,valprotected_x_base_copula,2.5167301714020356
8,valprotected_x_base_copula,2.5167301714020356
9,valprotected_x_base_copula,2.5167301714020356
10,valprotected_x_base_copula,2.5167301714020356
11,valprotected_x_base_copula,2.5167301714020356
12,valprotected_x_base_copula,2.5167301714020356
13,valprotected_copula_guided_residual_conservative,2.5167301714020356
14,valprotected_x_base_copula,2.5167301714020356
15,valprotected_x_base_copula,2.5167301714020356
16,valprotected_copula_guided_residual_conservative,2.5167301714020356
17,valprotected_x_base_copula,2.5167301714020356
18,valprotected_x_base_copula,2.5167301714020356
19,valprotected_x_base_copula,2.5167301714020356
20,valprotected_copula_guided_residual_conservative,2.5167301714020356
