sample_index,selected_method,global_objective
0,valprotected_x_base_copula,1.8576261675840602
1,valprotected_x_base_copula,1.8576261675840602
2,valprotected_x_base_copula,1.8576261675840602
3,valprotected_x_base_copula,1.8576261675840602
4,valprotected_x_base_copula,1.8576261675840602
5,valprotected_x_base_copula,1.8576261675840602
6,valprotected_x_base_copula,1.8576261675840602
7,valprotected_x_base_copula,1.8576261675840602
8,valprotected_x_base_copula,1.8576261675840602
9,valprotected_x_base_copula,1.8576261675840602
10,valprotected_x_base_copula,1.8576261675840602
11,valprotected_x_base_copula,1.8576261675840602
12,valprotected_x_base_copula,1.8576261675840602
13,valprotected_copula_guided_residual_conservative,1.8576261675840602
14,valprotected_x_base_copula,1.8576261675840602
15,valprotected_x_base_copula,1.8576261675840602
16,valprotected_x_base_copula,1.8576261675840602
17,valprotected_x_base_copula,1.8576261675840602
18,valprotected_x_base_copula,1.8576261675840602
19,valprotected_x_base_copula,1.8576261675840602
20,valprotected_copula_guided_residual_conservative,1.8576261675840602
