dataset,method,highrisk_wasserstein,highrisk_acf_mae,mean_wasserstein,mean_js,acf_mae,corr_matrix_error,realism_check_pass
singleton,TransformerVAE_Augmented_TailWeighted_Copula,0.9180526004337661,0.13005634807437644,0.14323638048519946,0.04130842501983508,0.06437763388540875,0.058711268635296014,
singleton,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.9268779090913917,0.1178078660389949,0.13469086955861823,0.04024770550664794,0.06230319795507272,0.016744150377102043,
singleton,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.939362420047858,0.11161777993515744,0.1698484907588078,0.05241111181768623,0.07341086458657387,0.029956760677516275,
singleton,ValSelected_Model_Ensemble_Margin_0.00,0.939362420047858,0.11161777993515744,0.1698484907588078,0.05241111181768623,0.07341086458657387,0.029956760677516275,
singleton,ValSelected_Model_Ensemble,0.939362420047858,0.11161777993515744,0.1698484907588078,0.05241111181768623,0.07341086458657387,0.029956760677516275,
singleton,ValSelected_Model_Ensemble_Margin_0.05,0.939362420047858,0.11161777993515744,0.1698484907588078,0.05241111181768623,0.07341086458657387,0.029956760677516275,
singleton,ValSelected_Model_Ensemble_Margin_0.10,0.939362420047858,0.11161777993515744,0.1698484907588078,0.05241111181768623,0.07341086458657387,0.029956760677516275,
singleton,Conditional_NormalizingFlow_Risk_Generator,0.8577708330317196,0.10337973709033792,0.38574392091322274,0.10905760721777909,0.06409699813381974,0.04065762647965148,
singleton,Conditional_Transformer_Risk_Generator,0.9876174341923077,0.08695623779726001,0.22419767110585878,0.06046035387684945,0.02408278426127622,0.09453616768683167,
muswellbrook,TransformerVAE_Augmented_TailWeighted_Copula,0.4866683109680034,0.11571471668917695,0.38774391900907296,0.060423965129566666,0.07194319636359663,0.06655820770856062,
muswellbrook,Conditional_Transformer_Risk_Generator,0.6133478319190476,0.0739099735600528,0.363879830408425,0.08198202914829178,0.051990773431303906,0.04106427631515824,
muswellbrook,ValSelected_Model_Ensemble_Margin_0.00,0.6133478319190476,0.0739099735600528,0.363879830408425,0.08198202914829178,0.051990773431303906,0.04106427631515824,
muswellbrook,ValSelected_Model_Ensemble,0.6133478319190476,0.0739099735600528,0.363879830408425,0.08198202914829178,0.051990773431303906,0.04106427631515824,
muswellbrook,ValSelected_Model_Ensemble_Margin_0.05,0.6133478319190476,0.0739099735600528,0.363879830408425,0.08198202914829178,0.051990773431303906,0.04106427631515824,
muswellbrook,ValSelected_Model_Ensemble_Margin_0.10,0.6133478319190476,0.0739099735600528,0.363879830408425,0.08198202914829178,0.051990773431303906,0.04106427631515824,
muswellbrook,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5503141906160197,0.1266669282681355,0.34926077528975674,0.045980610508697624,0.07610568102471554,0.112448505047046,
muswellbrook,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5883156659015017,0.08926850077524727,0.3322886712507576,0.046378891591583725,0.05503992964472349,0.057134929894387856,
muswellbrook,Conditional_NormalizingFlow_Risk_Generator,0.6106154217475301,0.06526763827072543,0.41872592273043274,0.13309373464087762,0.07278832183251904,0.08148806501291103,
cessnock_or_newarea,Conditional_NormalizingFlow_Risk_Generator,0.7714879409231125,0.10360897790826262,0.7010652528472127,0.12407070532441751,0.05434568440400727,0.07955928689059831,
cessnock_or_newarea,Conditional_Transformer_Risk_Generator,0.8535409915978865,0.11426719074604708,0.519853138335039,0.06680967633515567,0.03951388166074617,0.09446213841026886,
cessnock_or_newarea,TransformerVAE_Augmented_TailWeighted_Copula,0.4690292992628644,0.07668537291285665,0.7295522615855381,0.057663828667987,0.04483507123588934,0.025562923782487795,
cessnock_or_newarea,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.5004301801832466,0.0759904567123372,0.8135379157492201,0.05644601480285775,0.047347898408423315,0.03579709744370876,
cessnock_or_newarea,ValSelected_Model_Ensemble_Margin_0.00,0.5004301801832466,0.0759904567123372,0.8135379157492201,0.05644601480285775,0.047347898408423315,0.03579709744370876,
cessnock_or_newarea,ValSelected_Model_Ensemble,0.5004301801832466,0.0759904567123372,0.8135379157492201,0.05644601480285775,0.047347898408423315,0.03579709744370876,
cessnock_or_newarea,ValSelected_Model_Ensemble_Margin_0.05,0.5004301801832466,0.0759904567123372,0.8135379157492201,0.05644601480285775,0.047347898408423315,0.03579709744370876,
cessnock_or_newarea,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.4604670267162369,0.090789210188247,0.8812842533863584,0.05377217458911263,0.05625089067021808,0.025518605897500216,
cessnock_or_newarea,ValSelected_Model_Ensemble_Margin_0.10,0.4604670267162369,0.090789210188247,0.8812842533863584,0.05377217458911263,0.05625089067021808,0.025518605897500216,
