dataset,method,q99_cum_deficit_error,core_q99_cum_deficit_error,netload_ramp_max_mae,imbalance_duration_mae,risk_score,risk_rank,extreme_degree_match_rate
singleton,TransformerVAE_Augmented_TailWeighted_Copula,1.1263817261112337,2.8958017074897384,1.4330736924149097,6.6,0.2778426837499468,1,0.4
singleton,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,16.699663599948465,3.6825605634986047,1.2975209651328623,7.08,0.34573637190907563,2,0.44
singleton,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,18.114886171540476,1.2024903102971152,1.5178959567286074,7.0,0.4888454181790144,3,0.36
singleton,ValSelected_Model_Ensemble_Margin_0.00,18.114886171540476,1.2024903102971152,1.5178959567286074,7.0,0.4888454181790144,3,0.36
singleton,ValSelected_Model_Ensemble,18.114886171540476,1.2024903102971152,1.5178959567286074,7.0,0.4888454181790144,3,0.36
singleton,ValSelected_Model_Ensemble_Margin_0.05,18.114886171540476,1.2024903102971152,1.5178959567286074,7.0,0.4888454181790144,3,0.36
singleton,ValSelected_Model_Ensemble_Margin_0.10,18.114886171540476,1.2024903102971152,1.5178959567286074,7.0,0.4888454181790144,3,0.36
singleton,Conditional_NormalizingFlow_Risk_Generator,36.47320028217841,15.094480887051791,1.2408789170719683,5.6,0.6,8,0.36
singleton,Conditional_Transformer_Risk_Generator,13.181372895974533,8.327902427351397,1.5298495996929704,7.6,0.6561891877162082,9,0.44
muswellbrook,TransformerVAE_Augmented_TailWeighted_Copula,8.95201435828541,15.588403982619731,1.2208363099392348,9.458333333333334,0.23618552592913067,1,0.4166666666666667
muswellbrook,Conditional_Transformer_Risk_Generator,16.796055682865116,20.873250667434213,1.1413575215944245,8.125,0.30906351207986177,2,0.2916666666666667
muswellbrook,ValSelected_Model_Ensemble_Margin_0.00,16.796055682865116,20.873250667434213,1.1413575215944245,8.125,0.30906351207986177,2,0.2916666666666667
muswellbrook,ValSelected_Model_Ensemble,16.796055682865116,20.873250667434213,1.1413575215944245,8.125,0.30906351207986177,2,0.2916666666666667
muswellbrook,ValSelected_Model_Ensemble_Margin_0.05,16.796055682865116,20.873250667434213,1.1413575215944245,8.125,0.30906351207986177,2,0.2916666666666667
muswellbrook,ValSelected_Model_Ensemble_Margin_0.10,16.796055682865116,20.873250667434213,1.1413575215944245,8.125,0.30906351207986177,2,0.2916666666666667
muswellbrook,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,10.657310118523,19.318842627760404,1.3719031598787599,8.291666666666666,0.45392065295064876,7,0.375
muswellbrook,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,27.51785133981076,22.152672063700933,1.2043656010937411,9.166666666666666,0.6453605172774556,8,0.3333333333333333
muswellbrook,Conditional_NormalizingFlow_Risk_Generator,43.796046507249656,21.248990486159478,1.3142591794700518,9.125,0.8586917596062692,9,0.375
cessnock_or_newarea,Conditional_NormalizingFlow_Risk_Generator,0.5691478161453176,5.397785428900619,2.655880458336065,6.518518518518518,0.11137000984885474,1,0.48148148148148145
cessnock_or_newarea,Conditional_Transformer_Risk_Generator,40.20366360859988,5.237048885932985,2.879879583322219,6.666666666666667,0.37975541880457275,2,0.3333333333333333
cessnock_or_newarea,TransformerVAE_Augmented_TailWeighted_Copula,57.62074920894433,2.227846615421363,3.038178405786985,8.037037037037036,0.5500242026662432,3,0.4444444444444444
cessnock_or_newarea,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,70.6017665703135,7.1430987667495955,3.217771969970609,6.925925925925926,0.7451785531532339,4,0.2962962962962963
cessnock_or_newarea,ValSelected_Model_Ensemble_Margin_0.00,70.6017665703135,7.1430987667495955,3.217771969970609,6.925925925925926,0.7451785531532339,4,0.2962962962962963
cessnock_or_newarea,ValSelected_Model_Ensemble,70.6017665703135,7.1430987667495955,3.217771969970609,6.925925925925926,0.7451785531532339,4,0.2962962962962963
cessnock_or_newarea,ValSelected_Model_Ensemble_Margin_0.05,70.6017665703135,7.1430987667495955,3.217771969970609,6.925925925925926,0.7451785531532339,4,0.2962962962962963
cessnock_or_newarea,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,75.00693401289381,10.766784928656648,3.0806887132844336,7.962962962962963,0.9316910565804191,8,0.3333333333333333
cessnock_or_newarea,ValSelected_Model_Ensemble_Margin_0.10,75.00693401289381,10.766784928656648,3.0806887132844336,7.962962962962963,0.9316910565804191,8,0.3333333333333333
