row_type,margin,dataset,tailweighted_val_score,best_candidate_method,best_candidate_val_score,selected_method,reason,selected_method_test_rank,selected_method_test_score,mean_risk_rank,mean_risk_score,wins_count,top3_count,selected_methods_by_dataset
dataset,0.0,singleton,0.2933085908180265,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.020000000000000028,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,margin=0.00 uses current best validation risk_score with stability tie priority,3.0,0.4888454181790144,,,,,
dataset,0.05,singleton,0.2933085908180265,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.020000000000000028,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed val_score 0.020000 <= TailWeighted 0.293309 - margin 0.05,3.0,0.4888454181790144,,,,,
dataset,0.1,singleton,0.2933085908180265,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.020000000000000028,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed val_score 0.020000 <= TailWeighted 0.293309 - margin 0.10,3.0,0.4888454181790144,,,,,
dataset,0.0,muswellbrook,0.7799279351975907,Conditional_Transformer_Risk_Generator,0.20210027042496093,Conditional_Transformer_Risk_Generator,margin=0.00 uses current best validation risk_score with stability tie priority,2.0,0.30906351207986177,,,,,
dataset,0.05,muswellbrook,0.7799279351975907,Conditional_Transformer_Risk_Generator,0.20210027042496093,Conditional_Transformer_Risk_Generator,Conditional_Transformer_Risk_Generator val_score 0.202100 <= TailWeighted 0.779928 - margin 0.05,2.0,0.30906351207986177,,,,,
dataset,0.1,muswellbrook,0.7799279351975907,Conditional_Transformer_Risk_Generator,0.20210027042496093,Conditional_Transformer_Risk_Generator,Conditional_Transformer_Risk_Generator val_score 0.202100 <= TailWeighted 0.779928 - margin 0.10,2.0,0.30906351207986177,,,,,
dataset,0.0,cessnock_or_newarea,0.4209697658156288,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.32366725482991504,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,margin=0.00 uses current best validation risk_score with stability tie priority,4.0,0.7451785531532339,,,,,
dataset,0.05,cessnock_or_newarea,0.4209697658156288,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.32366725482991504,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed val_score 0.323667 <= TailWeighted 0.420970 - margin 0.05,4.0,0.7451785531532339,,,,,
dataset,0.1,cessnock_or_newarea,0.4209697658156288,GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,0.32366725482991504,TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed,best non-TailWeighted improvement 0.097303 < margin 0.10; fallback to TailWeighted,8.0,0.9316910565804191,,,,,
aggregate,0.0,ALL,,,,ValSelected_Model_Ensemble_Margin_0.00,aggregate across datasets,3.0,0.5143624944707034,3.0,0.5143624944707034,0.0,2.0,singleton:GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed; muswellbrook:Conditional_Transformer_Risk_Generator; cessnock_or_newarea:GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed
aggregate,0.05,ALL,,,,ValSelected_Model_Ensemble_Margin_0.05,aggregate across datasets,3.0,0.5143624944707034,3.0,0.5143624944707034,0.0,2.0,singleton:GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed; muswellbrook:Conditional_Transformer_Risk_Generator; cessnock_or_newarea:GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed
aggregate,0.1,ALL,,,,ValSelected_Model_Ensemble_Margin_0.10,aggregate across datasets,4.333333333333333,0.5765333289464317,4.333333333333333,0.5765333289464317,0.0,2.0,singleton:GAN_Augmented_TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed; muswellbrook:Conditional_Transformer_Risk_Generator; cessnock_or_newarea:TailWeighted_Month_EVT_Copula_Risk_Selection_Fixed
