time,load,wind_power,solar_power,temp,wind_speed,irradiance,precipitation,humidity,pressure,net_load,month,hour
2019-07-01 00:00:00,5.86239,1.2811616764035276,0.0,11.23,0.22,436.58,0.0,48.48,99.51,4.581228323596473,7,0
2019-07-01 01:00:00,5.31728,1.616904169150494,0.0,11.23,0.22,436.58,0.0,48.48,99.51,3.7003758308495063,7,1
2019-07-01 02:00:00,4.86877,1.873510620262708,0.0,11.23,0.22,436.58,0.0,48.48,99.51,2.9952593797372913,7,2
2019-07-01 03:00:00,4.69523,2.1911931639463584,0.0,11.23,0.22,436.58,0.0,48.48,99.51,2.504036836053641,7,3
2019-07-01 04:00:00,4.4281875,1.7142299836731716,0.0,11.23,0.22,436.58,0.0,48.48,99.51,2.713957516326828,7,4
2019-07-01 05:00:00,5.4297525,1.3149551027879915,0.0,11.23,0.22,436.58,0.0,48.48,99.51,4.114797397212008,7,5
2019-07-01 06:00:00,6.8870725,1.1744854608094648,0.0,11.23,0.22,436.58,0.0,48.48,99.51,5.712587039190535,7,6
2019-07-01 07:00:00,8.692505,0.7350661930682543,0.11938130081604759,11.23,0.22,436.58,0.0,48.48,99.51,7.838057506115699,7,7
2019-07-01 08:00:00,9.016465,0.7863650859334809,1.3034541134709647,11.23,0.22,436.58,0.0,48.48,99.51,6.926645800595555,7,8
2019-07-01 09:00:00,6.9195025,0.9216693184239739,2.5650830974039653,11.23,0.22,436.58,0.0,48.48,99.51,3.432750084172061,7,9
2019-07-01 10:00:00,5.535327499999999,0.5940883586008555,2.966973790062552,11.23,0.22,436.58,0.0,48.48,99.51,1.9742653513365913,7,10
2019-07-01 11:00:00,4.5893075,0.4406065766228002,2.903703269663579,14.36,0.37,548.72,0.0,41.1,99.4,1.2449976537136211,7,11
2019-07-01 12:00:00,3.4473325,0.5751458026996934,2.9442218164696095,16.99,0.47,550.4,0.0,35.25,99.26,-0.07203511916930294,7,12
2019-07-01 13:00:00,3.37833,0.7002679577388674,2.2135221415769935,17.85,0.23,485.98,0.0,33.82,99.16,0.4645399006841391,7,13
2019-07-01 14:00:00,3.3491425,1.0627307773208252,1.9488344280756218,17.83,0.52,351.12,0.0,34.7,99.13,0.3375772946035531,7,14
2019-07-01 15:00:00,3.86583,0.9837870606203348,0.7206798320622753,16.82,0.79,194.1,0.0,42.6,99.1,2.16136310731739,7,15
2019-07-01 16:00:00,5.4877175,1.2784753147881245,0.42727786498213666,14.05,1.24,38.58,0.0,56.32,99.1,3.781964320229738,7,16
2019-07-01 17:00:00,8.34722,1.4734745855845688,0.017569022251288733,11.77,1.49,0.0,0.0,59.23,99.16,6.8561763921641425,7,17
2019-07-01 18:00:00,9.8369,1.7946219580344631,0.0,10.39,1.62,0.0,0.0,65.45,99.21,8.042278041965536,7,18
